objectid,year,state,agency,unit_id,fire_name,inc_num,alarm_date,cont_date,cause,comments,report_ac,gis_acres,c_method,objective,fire_num,shape_length,shape_area
5168,1950,CA,CDF,TUU,GILL #6,0,1950-10-05,,14,,,554.726623535156,,1,896,5818.02903232527,2244899.07076328
8542,1950,CA,CDF,SLU,DALESSI,0,1950-10-06,,14,,,1034.79846191406,,1,110,11429.2714415879,4187680.77431246
18250,1950,CA,NPS,KNP,EAGLE PEA,0,1950-10-10,1950-10-13,1,,131,276.046203613281,8,1,35,5822.98553109768,1117119.36727142
8438,1950,CA,CCO,KRN,EMERALD MOUNTAIN,0,1950-10-11,,14,,,603.531860351562,,1,1250,5727.95994894982,2442406.76979119
9692,1950,CA,USF,TNF,HAMPSHIRE ROCK,0,1950-10-11,1950-10-11,9,,144,201.371368408203,,1,124,4261.34032235599,814920.989124548
2513,1950,CA,CDF,TGU,CANADA LARGE CANET R,0,1950-10-12,,14,,,5142.826171875,,1,44,20502.7500208203,20812279.358584
8433,1950,CA,CDF,MVU,WET BACK,0,1950-10-12,,14,,,3954.67236328125,,1,712,21444.8533285902,16003991.7429041
10890,1950,CA,USF,TNF,EUER,0,1950-10-12,1950-10-12,3,,40,29.7098007202148,,1,126,1646.29444535284,120231.299619418
8551,1950,CA,CDF,BEU,BLUEROCK,0,1950-10-13,,14,,,4309.0654296875,,1,107,19497.9074218248,17438169.7002443
8575,1950,CA,CDF,MVU,BANNER,0,1950-10-13,,9,,,2195.8232421875,,1,719,19512.2836622487,8886181.76512084
6871,1950,CA,CDF,MVU,TALBOTT,0,1950-10-15,,9,,,522.326538085938,,1,728,8509.11520858951,2113780.49498725
15906,1950,CA,CDF,TCU,HAYWARD,,1950-10-15,,14,20090305,0,988.420043945312,8,1,21,10329.0266098885,3999993.96466049
1947,1950,CA,CDF,MVU,SYCAMORE CANYON,0,1950-11-03,,14,,,3150.34204101562,,1,786,13928.0881000255,12748982.1377192
7224,1950,CA,CDF,MVU,SEQUAN #1,0,1950-11-05,,14,,,417.285064697266,,1,792,5843.71865918549,1688692.79344689
1951,1950,CA,CDF,BDU,NORTH,0,1950-11-09,,14,,,747.017761230469,,1,657,13115.7169397069,3023073.67029829
1958,1950,CA,CCO,LAC,,0,1950-11-09,,14,,,6.19798040390015,,1,0,710.647019409123,25082.3362748941
1954,1950,CA,CCO,LAC,BROWNS CYN/LIMEKILN,0,1950-11-10,,14,,,4233.77099609375,,1,0,26308.755043808,17133463.2725941
7225,1950,CA,CDF,MVU,SEQUAN #2,0,1950-11-10,,14,,,5332.30810546875,,1,806,25079.5673710757,21579086.2336374
7221,1950,CA,CDF,MVU,EAST SUNCREST,0,1950-11-11,,14,,,932.689147949219,,1,809,8607.97611476964,3774459.14310334
6873,1950,CA,CDF,MVU,HARRIS,0,1950-12-22,,9,,,3671.08911132812,,1,842,28567.4823914174,14856370.5242466
8625,1951,CA,USF,SRF,TRYON,0,1951-01-01,,2,,,4.97811412811279,,1,342,503.790126020927,20145.7137610079
4007,1951,CA,USF,CNF,LITTLE PAGE,0,1951-03-15,,14,,,77.7035140991211,,1,21,3649.61065035272,314454.977874119
15621,1951,CA,USF,ANF,LIMEKILN,0,1951-03-24,,14,"S.Imsand; Saugus,N fire of 2 near PacoimaDam map 2, 1:126720-Angeles Fire Atlas*",54,72.8975982666016,,1,0,2314.03012069098,295006.112087624
792,1951,CA,CDF,NEU,RATTLESNAKE,0,1951-03-26,,14,,,585.524169921875,,1,22,9730.0616319306,2369532.2128631
1770,1951,CA,USF,SRF,COPCO,0,1951-03-28,,3,,,21.6601753234863,,1,331,1189.16409522907,87655.6213450775
8622,1951,CA,USF,SRF,BUMMER LAKE,0,1951-03-28,,3,,,54.7600288391113,,1,332,1670.89323254419,221605.98147181
8623,1951,CA,USF,SRF,HARDSCABBLE,0,1951-04-05,,3,,,4.97829961776733,,1,333,503.79930072863,20146.4638491043
8183,1951,CA,CDF,NEU,HINTON MINE,0,1951-04-08,,14,,,344.612915039062,,1,11,4922.21134908746,1394598.96866898
15811,1951,CA,USF,STF,MILL CREEK,,1951-04-08,1951-04-08,1,20090305,22,37.9471740722656,6,1,1,1757.96644583612,153566.758739174
4566,1951,CA,CDF,MMU,BATES,0,1951-05-28,,14,,,140.070343017578,,1,88,3545.67007043147,566844.553578484
928,1951,CA,CDF,MMU,C.C. COOK,0,1951-05-31,,14,,,356.215576171875,,1,92,6859.26580938182,1441553.32092269
1274,1951,CA,CDF,SCU,SMITHS RIDGE,0,1951-06-01,,14,,,4417.00341796875,,1,2,28815.2878864877,17874978.2179898
3731,1951,CA,CDF,SLU,GODFREY GRADE,0,1951-06-01,,14,,,738.021728515625,,1,39,10623.9950102944,2986667.8726511
3736,1951,CA,CCO,LAC,SCOTTY NO. 110,0,1951-06-01,,14,,,156.180923461914,,1,0,4505.28687312177,632041.774053356
3988,1951,CA,CDF,SCU,DRY CREEK FIRE,0,1951-06-01,,14,,,1078.15832519531,,1,2,8115.20653860352,4363152.03589803
